timestamp_sec,model_name,phase,frequency_mhz,power_w,junction_temp_c
0.0,Gemma-2-9B,1,2400,7.421,30.0
0.01,Gemma-2-9B,1,2400,7.531,30.002
0.02,Gemma-2-9B,1,2400,7.541,30.006
0.03,Gemma-2-9B,1,2400,7.499,30.008
0.04,Gemma-2-9B,1,2400,7.539,30.008
0.05,Gemma-2-9B,1,2400,7.538,30.011
0.06,Gemma-2-9B,1,2400,7.516,30.012
0.07,Gemma-2-9B,1,2400,7.597,30.014
0.08,Gemma-2-9B,1,2400,7.451,30.018
0.09,Gemma-2-9B,1,2400,7.587,30.016
0.1,Gemma-2-9B,1,2400,7.432,30.015
0.11,Gemma-2-9B,1,2400,7.545,30.017
0.12,Gemma-2-9B,1,2400,7.659,30.019
0.13,Gemma-2-9B,1,2400,7.394,30.017
0.14,Gemma-2-9B,1,2400,7.563,30.021
0.15,Gemma-2-9B,1,2400,7.452,30.017
0.16,Gemma-2-9B,1,2400,7.597,30.015
0.17,Gemma-2-9B,1,2400,7.529,30.015
0.18,Gemma-2-9B,1,2400,7.498,30.016
0.19,Gemma-2-9B,1,2400,7.376,30.017
0.2,Gemma-2-9B,1,2400,7.406,30.019
0.21,Gemma-2-9B,1,2400,7.486,30.021
0.22,Gemma-2-9B,1,2400,7.419,30.021
0.23,Gemma-2-9B,1,2400,7.441,30.024
0.24,Gemma-2-9B,1,2400,7.506,30.024
0.25,Gemma-2-9B,1,2400,7.425,30.026
0.26,Gemma-2-9B,1,2400,7.57,30.026
0.27,Gemma-2-9B,1,2400,7.423,30.026
0.28,Gemma-2-9B,1,2400,7.676,30.028
0.29,Gemma-2-9B,1,2400,7.541,30.031
0.3,Gemma-2-9B,1,2400,7.571,30.034
0.31,Gemma-2-9B,1,2400,7.538,30.032
0.32,Gemma-2-9B,1,2400,7.516,30.034
0.33,Gemma-2-9B,1,2400,7.592,30.035
0.34,Gemma-2-9B,1,2400,7.415,30.036
0.35,Gemma-2-9B,1,2400,7.516,30.039
0.36,Gemma-2-9B,1,2400,7.432,30.04
0.37,Gemma-2-9B,1,2400,7.489,30.04
0.38,Gemma-2-9B,1,2400,7.508,30.039
0.39,Gemma-2-9B,1,2400,7.308,30.04
0.4,Gemma-2-9B,1,2400,7.552,30.043
0.41,Gemma-2-9B,1,2400,7.385,30.041
0.42,Gemma-2-9B,1,2400,7.57,30.039
0.43,Gemma-2-9B,1,2400,7.434,30.034
0.44,Gemma-2-9B,1,2400,7.617,30.036
0.45,Gemma-2-9B,1,2400,7.547,30.035
0.46,Gemma-2-9B,1,2400,7.599,30.033
0.47,Gemma-2-9B,1,2400,7.613,30.036
0.48,Gemma-2-9B,1,2400,7.43,30.04
0.49,Gemma-2-9B,1,2400,7.532,30.041
0.5,Gemma-2-9B,1,2400,7.465,30.04
0.51,Gemma-2-9B,1,2400,7.481,30.04
0.52,Gemma-2-9B,1,2400,7.515,30.042
0.53,Gemma-2-9B,1,2400,7.526,30.043
0.54,Gemma-2-9B,1,2400,7.541,30.039
0.55,Gemma-2-9B,1,2400,7.261,30.04
0.56,Gemma-2-9B,1,2400,7.466,30.039
0.57,Gemma-2-9B,1,2400,7.59,30.037
0.58,Gemma-2-9B,0,2400,5.885,30.036
0.59,Gemma-2-9B,0,2400,5.699,30.038
0.6,Gemma-2-9B,0,2400,5.716,30.04
