timestamp_sec,model_name,phase,frequency_mhz,power_w,junction_temp_c
0.0,Qwen-1.8B,1,2400,6.051,30.0
0.01,Qwen-1.8B,1,2400,6.067,30.002
0.02,Qwen-1.8B,1,2400,6.101,30.004
0.03,Qwen-1.8B,1,2400,6.0,30.006
0.04,Qwen-1.8B,1,2400,6.103,30.007
0.05,Qwen-1.8B,1,2400,6.061,30.006
0.06,Qwen-1.8B,1,2400,5.906,30.004
0.07,Qwen-1.8B,1,2400,5.947,30.005
0.08,Qwen-1.8B,1,2400,6.005,30.009
0.09,Qwen-1.8B,1,2400,6.065,30.01
0.1,Qwen-1.8B,1,2400,6.095,30.011
0.11,Qwen-1.8B,1,2400,6.017,30.01
0.12,Qwen-1.8B,1,2400,5.95,30.014
0.13,Qwen-1.8B,1,2400,5.821,30.015
0.14,Qwen-1.8B,1,2400,6.073,30.012
0.15,Qwen-1.8B,1,2400,5.864,30.016
0.16,Qwen-1.8B,1,2400,5.861,30.013
0.17,Qwen-1.8B,1,2400,5.96,30.017
0.18,Qwen-1.8B,1,2400,6.005,30.016
0.19,Qwen-1.8B,1,2400,6.006,30.015
0.2,Qwen-1.8B,1,2400,5.907,30.012
0.21,Qwen-1.8B,1,2400,6.047,30.012
0.22,Qwen-1.8B,1,2400,5.976,30.012
0.23,Qwen-1.8B,1,2400,6.06,30.012
0.24,Qwen-1.8B,1,2400,5.966,30.013
0.25,Qwen-1.8B,1,2400,6.057,30.013
0.26,Qwen-1.8B,1,2400,6.095,30.012
0.27,Qwen-1.8B,1,2400,6.002,30.016
0.28,Qwen-1.8B,1,2400,5.937,30.016
0.29,Qwen-1.8B,1,2400,6.02,30.017
0.3,Qwen-1.8B,1,2400,5.914,30.019
0.31,Qwen-1.8B,1,2400,6.016,30.024
0.32,Qwen-1.8B,1,2400,5.974,30.027
0.33,Qwen-1.8B,1,2400,5.946,30.029
0.34,Qwen-1.8B,1,2400,6.095,30.029
0.35,Qwen-1.8B,1,2400,6.045,30.03
0.36,Qwen-1.8B,1,2400,6.046,30.032
0.37,Qwen-1.8B,1,2400,5.876,30.034
0.38,Qwen-1.8B,1,2400,5.987,30.034
0.39,Qwen-1.8B,1,2400,6.0,30.034
0.4,Qwen-1.8B,1,2400,6.147,30.038
0.41,Qwen-1.8B,1,2400,6.012,30.04
0.42,Qwen-1.8B,1,2400,5.963,30.042
0.43,Qwen-1.8B,1,2400,5.98,30.043
0.44,Qwen-1.8B,1,2400,5.989,30.044
0.45,Qwen-1.8B,1,2400,5.959,30.044
0.46,Qwen-1.8B,1,2400,5.946,30.045
0.47,Qwen-1.8B,1,2400,5.931,30.047
0.48,Qwen-1.8B,1,2400,6.104,30.05
0.49,Qwen-1.8B,1,2400,5.891,30.05
0.5,Qwen-1.8B,1,2400,6.028,30.051
0.51,Qwen-1.8B,1,2400,5.999,30.046
0.52,Qwen-1.8B,1,2400,5.952,30.048
0.53,Qwen-1.8B,1,2400,6.056,30.05
0.54,Qwen-1.8B,1,2400,6.048,30.048
0.55,Qwen-1.8B,1,2400,6.045,30.046
0.56,Qwen-1.8B,1,2400,6.162,30.052
0.57,Qwen-1.8B,1,2400,5.936,30.05
0.58,Qwen-1.8B,1,2400,6.06,30.054
0.59,Qwen-1.8B,1,2400,6.179,30.055
0.6,Qwen-1.8B,1,2400,5.98,30.054
0.61,Qwen-1.8B,1,2400,5.967,30.054
0.62,Qwen-1.8B,1,2400,6.062,30.056
0.63,Qwen-1.8B,1,2400,6.003,30.054
0.64,Qwen-1.8B,1,2400,6.053,30.053
0.65,Qwen-1.8B,1,2400,6.161,30.053
0.66,Qwen-1.8B,1,2400,6.037,30.058
0.67,Qwen-1.8B,1,2400,5.99,30.058
0.68,Qwen-1.8B,1,2400,6.045,30.059
0.69,Qwen-1.8B,1,2400,5.931,30.063
0.7,Qwen-1.8B,1,2400,5.944,30.067
0.71,Qwen-1.8B,1,2400,5.964,30.067
0.72,Qwen-1.8B,1,2400,5.943,30.065
0.73,Qwen-1.8B,1,2400,6.038,30.065
0.74,Qwen-1.8B,1,2400,5.991,30.067
0.75,Qwen-1.8B,1,2400,6.065,30.069
0.76,Qwen-1.8B,1,2400,6.003,30.07
0.77,Qwen-1.8B,1,2400,6.085,30.068
0.78,Qwen-1.8B,0,2400,4.588,30.068
0.79,Qwen-1.8B,0,2400,4.529,30.067
0.8,Qwen-1.8B,0,2400,4.461,30.069
0.81,Qwen-1.8B,0,2400,4.501,30.071
0.82,Qwen-1.8B,0,2400,4.511,30.072
0.83,Qwen-1.8B,0,2400,4.506,30.07
0.84,Qwen-1.8B,0,2400,4.468,30.066
0.85,Qwen-1.8B,0,2400,4.498,30.066
0.86,Qwen-1.8B,0,2400,4.456,30.067
0.87,Qwen-1.8B,0,2400,4.539,30.066
0.88,Qwen-1.8B,0,2400,4.508,30.066
0.89,Qwen-1.8B,0,2400,4.567,30.068
0.9,Qwen-1.8B,0,2400,4.436,30.068
0.91,Qwen-1.8B,0,2400,4.396,30.07
0.92,Qwen-1.8B,0,2400,4.561,30.071
0.93,Qwen-1.8B,0,2400,4.454,30.071
0.94,Qwen-1.8B,0,2400,4.525,30.069
0.95,Qwen-1.8B,0,2400,4.451,30.07
0.96,Qwen-1.8B,0,2400,4.333,30.07
0.97,Qwen-1.8B,0,2400,4.486,30.068
0.98,Qwen-1.8B,0,2400,4.589,30.068
0.99,Qwen-1.8B,0,2400,4.604,30.072
1.0,Qwen-1.8B,0,2400,4.468,30.071
1.01,Qwen-1.8B,0,2400,4.541,30.069
1.02,Qwen-1.8B,0,2400,4.43,30.071
1.03,Qwen-1.8B,0,2400,4.626,30.071
1.04,Qwen-1.8B,0,2400,4.528,30.07
1.05,Qwen-1.8B,0,2400,4.555,30.074
1.06,Qwen-1.8B,0,2400,4.49,30.071
1.07,Qwen-1.8B,0,2400,4.321,30.069
1.08,Qwen-1.8B,0,2400,4.529,30.073
1.09,Qwen-1.8B,0,2400,4.502,30.071
1.1,Qwen-1.8B,0,2400,4.394,30.073
